# claude — a handwritten pipeline-stress / coverage suite.
#
# This suite is for *testing the pp2lp pipeline*, not for staying green.  It
# deliberately spans the whole rule space (every PP family) and the whole
# proof-size span (one-rule leaves → 200+-rule proofs), AND it probes the known
# frontier: set-equality / equality-congruence, arithmetic antisymmetry and
# double-negation (AR4/AR7/AR8), INS over rewritten hyps, NAT membership, and
# existential/quantifier shapes REPLAY mishandles.  Authored by hand, grouped by
# what each section tests.
#
# INVARIANT: every goal is a genuine theorem submitted to PP as the BARE goal —
# no hypotheses, no goal-as-hypothesis self-promotion.  PP proves it outright,
# closing the goal's free variables universally and inferring their types from
# context.  A goal PP cannot prove produces no .trace and is rejected at gen time
# (see the guardrail in gen_traces), so it does not belong here.  (Mind PP's
# parser: `<=>` binds tighter than `&`, and `=>` is left-associative —
# parenthesise accordingly, e.g. `(a & b) <=> (b & a)`, `x<=y => (y<=x => x=y)`.)
#
# Format: name | kind | goal
#   prop  — bare identifiers are propositional variables
#   expr  — bare identifiers are expression variables (sets / functions / ints)
#
# `goals.txt` is the source of truth — regenerate with `pp2lp gen claude`,
# check with `pp2lp run claude`.  Coverage notes (→ RULE) are intended targets;
# measure actual firings from the generated `.replay` files.  Some goals are
# theorems pp2lp cannot yet *translate* (Farkas, AR4/AR7/AR8, …); those fail at
# the lambdapi-check stage, not at PP — a signal about the pipeline frontier.

# ════════════════════════════════════════════════════════════════════════
# A. Propositional connectives — AND / OR / NOT, tiny → medium  (AND*, OR*, NOT*)
# ════════════════════════════════════════════════════════════════════════

# leaves (1–3 rules)

# identity / idempotence
p_imp_self        | prop | a => a
st_union_sub_out  | expr | s <: u & t <: u => s \/ t <: u
st_absorb_union   | expr | s \/ (s /\ t) <: s
st_absorb_inter   | expr | s /\ (s \/ t) <: s
st_pow_mem_sub    | expr | s: POW(t) => s <: t
st_sub_pow_mem    | expr | s <: t => s: POW(t)
st_pow_mem_trans  | expr | s: POW(t) & t <: u => s: POW(u)
st_pair_mem_l     | expr | a: {a, b}
st_pair_mem_r     | expr | b: {a, b}
st_singleton_mem  | expr | a: {a}
st_singleton_dest | expr | x: {a} => x = a
st_pair_cases     | expr | x: {a, b} => x = a or x = b
st_pair_sub       | expr | a: s & b: s => {a, b} <: s
st_eq_trans_sets  | expr | s = t & t = u => s = u
st_eq_sym_sets    | expr | s = t => t = s
st_eq_union_both  | expr | s = t & u = v => s \/ u = t \/ v
st_eq_inter_both  | expr | s = t & u = v => s /\ u = t /\ v
st_eq_mem_both    | expr | s = t & x: s & y: t => x: t & y: s
# st_eq_pow (s = t => POW(s) = POW(t)) pruned: REPLAY truncates its replay —
# the final ALL7 of the EGALITE continuation is emitted with no sequent child
# (E_REPLAY_TRUNCATED; same upstream tool bug that dropped the gemini goals).
st_card_self      | expr | card(s) = card(s)
st_antisym_use    | expr | s <: t & t <: s & x: s => x: t
st_pow_union_sub  | expr | POW(s) <: POW(s \/ t)
st_mem_sub_chain  | expr | x: m & m <: n & n <: o & o <: q => x: q
st_union_self_sub | expr | s \/ s <: s
st_sub_union_self | expr | s <: s \/ s
st_inter_self_sub | expr | s <: s /\ s

# ════════════════════════════════════════════════════════════════════════
# U. Functions and relations — app, dom/ran, arrows, maplets
# ════════════════════════════════════════════════════════════════════════

fn_app_self       | expr | x: dom(f) => f(x) = f(x)
fn_app_cong       | expr | x = y & x: dom(f) => f(x) = f(y)
fn_app_two_eq     | expr | a: dom(f) & b: dom(f) & f(a) = c & f(b) = c => f(a) = f(b)
fn_pair_keep      | expr | a,b: f & c,d: f => a,b: f
fn_dom_intro      | expr | a,b: f => a: dom(f)
fn_ran_intro      | expr | a,b: f => b: ran(f)
fn_total_app_pair | expr | f: s --> t & a: s => a,f(a): f
fn_total_dom      | expr | f: s --> t & a: s => a: dom(f)
fn_total_app_mem  | expr | f: s --> t & a: s => f(a): t
fn_partial_app    | expr | f: s +-> t & a: dom(f) => f(a): t
fn_inj_eq         | expr | f: s >-> t & a: s & b: s & f(a) = f(b) => a = b
fn_maplet_subst   | expr | a,b: f & a = c => c,b: f
fn_app_subst      | expr | u = v & f(u) = w => f(v) = w
fn_app_chain      | expr | f(a) = b & g(b) = c => g(f(a)) = c
fn_nested_self    | expr | g(f(x)) = g(f(x))
fn_app_in_sub     | expr | f(a): s & s <: t => f(a): t
fn_dom_sub_use    | expr | dom(f) <: s & a: dom(f) => a: s
fn_ran_sub_use    | expr | ran(f) <: t & b: ran(f) => b: t
fn_app_eq_sym     | expr | f(a) = b => b = f(a)
fn_app_eq_trans   | expr | f(a) = b & b = c => f(a) = c
fn_two_apps       | expr | f(a) = g(b) & g(b) = c => f(a) = c
fn_rel_exists     | expr | a,b: r & b,c: q => #x.(a,x: r)
fn_rel_subset     | expr | r <: q & a,b: r => a,b: q
fn_bij_app        | expr | f: s >->> t & a: s => f(a): t

# ════════════════════════════════════════════════════════════════════════
# V. Equality chains and substitution — ECTR / OPR stress
# ════════════════════════════════════════════════════════════════════════

ec_chain10        | expr | a1 = a2 & a2 = a3 & a3 = a4 & a4 = a5 & a5 = a6 & a6 = a7 & a7 = a8 & a8 = a9 & a9 = b1 => a1 = b1
ec_sym_join       | expr | a = b & c = b => a = c
ec_mixed_dirs     | expr | b = a & b = c & d = c => a = d
ec_subst_mem2     | expr | x = y & y = z & x: s => z: s
ec_neg_subst      | expr | x = y & not(y = z) => not(x = z)
ec_neg_subst_mem  | expr | x = y & not(y: s) => not(x: s)
ec_or_elim_eq     | expr | (x = a or x = b) & not(x = a) => x = b
ec_cases_mem      | expr | (x = a or x = b) & a: s & b: s => x: s
ec_fun_cong       | expr | x = y => f(x) = f(y)
ec_plus_cong      | expr | x = y => x + z = y + z
ec_plus_cong2     | expr | x = y & z = w => x + z = y + w
ec_leq_subst_l    | expr | x = y & y <= z => x <= z
ec_leq_subst_r    | expr | x = y & z <= y => z <= x
ec_eq_to_leq2     | expr | x = y => x <= y & y <= x
ec_arith_chain    | expr | x + 1 = y & y = z => x + 1 = z
ec_card_subst     | expr | card(s) = n & n = m => card(s) = m
ec_set_elem_mix   | expr | s = t & x = y & x: s => y: t
ec_app_subst_lhs  | expr | x = y & f(y) = z => f(x) = z
ec_triangle       | expr | a = b & b = c => a = c & c = a & b = a
ec_neq_sym        | expr | not(a = b) => not(b = a)
ec_join_at_target | expr | s = t & u = t => s = u
ec_long_neg       | expr | a = b & b = c & c = d & not(a = e) => not(d = e)

# ════════════════════════════════════════════════════════════════════════
# W. Arithmetic, broader — chains, literals, normalisation stress
# ════════════════════════════════════════════════════════════════════════

a2_leq_chain8     | expr | x1 <= x2 & x2 <= x3 & x3 <= x4 & x4 <= x5 & x5 <= x6 & x6 <= x7 & x7 <= x8 => x1 <= x8
a2_leq_plus_step  | expr | x <= y & y + 1 <= z => x <= z
a2_lt_leq_mix     | expr | x < y & y <= z => x < z
a2_leq_lt_mix     | expr | x <= y & y < z => x < z
a2_lt_chain3      | expr | x < y & y < z & z < w => x < w
a2_plus_zero2     | expr | x + 0 + 0 = x
a2_zero_nest      | expr | 0 + (0 + x) = x
a2_neg_cancel_l   | expr | (-x) + x = 0
a2_neg_neg_eq     | expr | -(-x) = x
a2_neg_distrib    | expr | -(x + y) = -x - y
a2_sub_of_sub     | expr | x - (y - z) = x - y + z
a2_reorder5       | expr | x + y + z + w + v = v + w + z + y + x
a2_reorder_sub    | expr | x - y + z = z - y + x
a2_sign_bridge    | expr | x <= 0 & 0 <= y => x <= y
a2_pos_chain      | expr | 0 <= x & x <= y & y <= z => 0 <= z
a2_neg_chain      | expr | x <= y & y <= 0 => x <= 0
a2_shift_left     | expr | x + 1 <= y => x <= y - 1
a2_shift_right    | expr | x <= y - 1 => x + 1 <= y
a2_lt_to_succ     | expr | x < y => x + 1 <= y
a2_succ_to_lt     | expr | x + 1 <= y => x < y
a2_lt_irrefl      | expr | not(x < x)
a2_lt_asym        | expr | x < y => not(y < x)
a2_lt_neq         | expr | x < y => not(x = y)
a2_leq_total      | expr | x <= y or y <= x
a2_lit_eq         | expr | 1 + 1 = 2
a2_lit_leq        | expr | 1 <= 1 + 1
a2_lit_eleven     | expr | 10 + 1 = 11
a2_lit_sub        | expr | 3 - 1 = 2
a2_tighten        | expr | x + 2 <= y => x + 1 <= y
a2_drop_one       | expr | x + 1 <= y => x <= y
a2_sandwich_eq    | expr | x <= y & y <= x + 0 => x = y
a2_zero_sum_eq    | expr | x <= 0 & y <= 0 & 0 <= x + y => x + y = 0
a2_sum_mono3      | expr | x <= a & y <= b & z <= c => x + y + z <= a + b + c
a2_between        | expr | x <= y & y <= z & x = z => x = y
a2_const_shift    | expr | x <= y => x + 3 <= y + 3

# ════════════════════════════════════════════════════════════════════════
# X. ARITH solver terminal — coefficient reasoning (the certificate test bed;
#    these fail with E_UNKNOWN_RULE "ARITH" until the Farkas emission lands)
# ════════════════════════════════════════════════════════════════════════

at_double         | expr | x <= 0 => x + x <= 0
at_triple         | expr | x <= 0 => x + x + x <= 0
at_double_pair    | expr | x <= y => x + x <= y + y
at_double_pos     | expr | 0 <= x => 0 <= x + x
at_mix_scale      | expr | x <= 0 & y <= 0 => x + x + y <= 0
at_scale_bound    | expr | x <= 1 => x + x <= 2
at_two_sided      | expr | x <= y & y <= x => x + x <= y + y
at_with_const     | expr | x + 1 <= 0 => x + x + 1 <= 0
at_via_chain      | expr | x <= y & y <= 0 => x + x <= 0
at_halve          | expr | x + x <= 0 => x <= 0
at_third          | expr | x + x + x <= 0 => x <= 0
at_combo          | expr | x <= y & x <= z & 0 <= x => x + x <= y + z
at_quant_double   | expr | !x.(0 <= x => 0 <= x + x)

# ════════════════════════════════════════════════════════════════════════
# Y. AXM-discharged chain elements — hypothesis facts inside ALL7/XST8 chains
#    (the test bed for trust-free AXM*_1: each chain conjunct is discharged
#    from a store hypothesis, not proven structurally)
# ════════════════════════════════════════════════════════════════════════

axc_exists_const  | expr | p & a: s => #x.(x: s & p)
axc_in_exists     | expr | p & #x.(x: s) => #x.(x: s & p)

# ════════════════════════════════════════════════════════════════════════
# Z. Deep and large — push proof size and mixed-family integration
# ════════════════════════════════════════════════════════════════════════

dz_eq_chain12     | expr | b1 = b2 & b2 = b3 & b3 = b4 & b4 = b5 & b5 = b6 & b6 = b7 & b7 = b8 & b8 = b9 & b9 = c1 & c1 = c2 & c2 = c3 => b1 = c3
dz_sub_chain8     | expr | m1 <: m2 & m2 <: m3 & m3 <: m4 & m4 <: m5 & m5 <: m6 & m6 <: m7 & m7 <: m8 => m1 <: m8
dz_leq_chain10    | expr | y1 <= y2 & y2 <= y3 & y3 <= y4 & y4 <= y5 & y5 <= y6 & y6 <= y7 & y7 <= y8 & y8 <= y9 & y9 <= z1 => y1 <= z1
dz_mixed_monster  | expr | !x.(x: s => x: t) & !x.(x: t => x: u) & a: s & b: s & #y.(y: u) => a: u & b: u & #y.(y: u)
dz_two_u_two_x    | expr | !x.(x: s => #y.(x,y: r)) & !x.(x: t => #y.(x,y: q)) & a: s & b: t => #y.(a,y: r) & #y.(b,y: q)
dz_quant_arith    | expr | !x.(x: s => 0 <= x) & !x.(x: s => x <= 9) & a: s => 0 <= a & a <= 9
dz_sets_monster   | expr | s <: t & t <: u & x: s /\ v => x: u
dz_eqv_ladder     | prop | (a <=> b) & (b <=> c) & (c <=> d) & (d <=> e) & (e <=> g) => (a <=> g)
dz_wide_cases     | prop | (a or b or c or d) & (a => z) & (b => z) & (c => z) & (d => z) => z
dz_exists_chain   | expr | a: s & !x.(x: s => x: t) & !x.(x: t => x: u) & !x.(x: u => x: v) => #x.(x: v)
dz_conj_eq_mix    | expr | a = b & c = d & e = g & h = i & a: s => b: s & c = d
dz_pair_monster   | expr | !x.!y.(x,y: r => y,x: r) & !x.!y.(x,y: r & y,x: r => x: s) & a,b: r => a: s

# Top-up: variants in reliably-generating families (REPLAY-truncation-safe).
q3_chain5         | prop | (a => b) & (b => c) & (c => d) & (d => e) => (a => e)
q3_or_distrib3    | prop | a & (b or c or d) => (a & b) or (a & c) or (a & d)
q3_neg_or         | prop | not(a or b) & not(c) => not(a or c)
q3_iff_refl       | prop | (a <=> a)
q3_iff_em         | prop | (a <=> b) or (a <=> not(b))
q3_and_rotate     | prop | a & b & c => c & a & b
q3_or_rotate      | prop | a or b or c => c or a or b
q3_dn_and         | prop | not(not(a)) & not(not(b)) => a & b
u3_inst_three     | expr | !x.(x: s => x: t) & a: s & b: s & c: s => a: t & b: t & c: t
u3_two_layer      | expr | !x.(x: a => x: b) & !x.(x: b => x: c) & d1: a & d2: a => d1: c & d2: c
u3_body_and4      | expr | !x.(x: s => x: a & x: b & x: c & x: d) & e1: s => e1: c
u3_neg_inst       | expr | !x.(not(x: s) or x: t) & a: s => a: t
x3_wit_and_eq     | expr | a: s & a = b => #x.(x: s & x = b)
x3_wit_app        | expr | f(a) = c => #x.#y.(f(x) = y)
x3_wit_chain      | expr | a: s & !x.(x: s => x: t) => #x.(x: s) & #x.(x: t)
ec2_chain6        | expr | c1 = c2 & c2 = c3 & c3 = c4 & c4 = c5 & c5 = c6 => c1 = c6
ec2_star_join     | expr | a = z & b = z & c = z => a = b & b = c
ec2_app_both      | expr | x = y & f(x) = g(y) & f(x) = w => g(y) = w
ec2_mem_two       | expr | x = y & x: s & x: t => y: s & y: t
a3_leq_plus2      | expr | x <= y & 0 <= z => x <= y + z
a3_minus_mono     | expr | x <= y => x - z <= y - z
a3_chain_mixed    | expr | x <= y & y < z & z <= w => x < w
a3_zero_middle    | expr | x <= 0 & 0 <= z => x - 1 <= z
a3_lit_spread     | expr | x <= 1 & 1 <= y => x <= y
a3_plus_swap_leq  | expr | x + y + z <= w => z + y + x <= w
st2_mem_inter3    | expr | x: s /\ t /\ u => x: t
st2_mem_union3    | expr | x: s => x: u \/ t \/ s
st2_eq_singleton  | expr | a = b => {a} = {b}
st2_pair_both     | expr | x: {a, b} & not(x = a) => x = b
fn2_app_four      | expr | f(a) = b & f(c) = d & a: dom(f) & c: dom(f) => f(a) = b & f(c) = d

# ════════════════════════════════════════════════════════════════════════
# W. Solver terminals & positional substitution (added 2026-06-10)
#    Probes for newly-wired machinery: the ARITH Farkas closer (→ ARITH),
#    the EGALITE equality-prover terminal (→ EGALITE), slot-positional
#    NRM20/21 pins and NRM26 drops, and literal folding in the generated
#    sum-equality proofs (AR3/AR3_F with folded constants).
# ════════════════════════════════════════════════════════════════════════

# ARITH Farkas certificates: multiplier 3, two-variable, constants > 1.
narf_triple       | expr | !x.(x <= 0 => x + x + x <= 0)
narf_neg_triple   | expr | !x.(0 <= x => 0 <= x + x + x)
narf_two_var      | expr | !x.!y.(x <= 0 & y <= 0 => x + y + x <= 0)
narf_const_gap    | expr | !x.(x <= 3 => x + x <= 9)
narf_const_slack  | expr | !x.(x <= 2 => x + x + x <= 8)
narf_opp_pair     | expr | !x.!y.(x + y <= 0 & 0 <= y => x <= 1)

# EGALITE: equality-prover terminal (universal hyps used modulo equalities).
# The bare !x-hyp forms (e.g. `!x.(x: s => x: u) & s = t & a: t => a: u`)
# prove fine in PP but REPLAY fails to convert their traces — use the
# subset-expansion shapes (the st_eq_pow trigger context) instead.
egal_sub_self     | expr | s = t => s <: t

# NRM20/21 positional pins: witness = another bound var, RHS orientation,
# real (non-⊤) conjunct prefixes, mid-list equality.
x2_eq_wits_rev    | expr | #x.#y.(y = x)
x2_app_graph_rev  | expr | a: s & b = f(a) => #x.#y.(x: s & y = f(x))
x2_two_app        | expr | f(a) = b => #x.#y.(y = f(x))
x3_mid_wit        | expr | a: s & f(a) = c => #x.#y.(x: s & f(x) = y & y = c)
x3_three_wits     | expr | f(a) = b => #x.#y.#z.(f(x) = y & y = z)

# NRM26 positional drops: re-quantified universals with reordered binders
# leave the unused binder at slot 0 / 1 / last.
u2_all_swap2      | expr | !x.!y.(x: a => y: b) => !y.!x.(x: a => y: b)
